Accurate Response,BinSize,Bins,Congruency,RT,Reward Size,ScaleType,Subject,response
1.0,50.0,Bin_3,Con,0.404951095581,44.0,Det,Subj_1,k
1.0,100.0,Bin_5,Con,0.38921594619800004,99.0,Det,Subj_1,m
1.0,20.0,Bin_2,Con,0.443984985352,18.0,Det,Subj_1,m
1.0,80.0,Bin_4,Con,0.35652017593400004,79.0,Det,Subj_1,k
1.0,100.0,Bin_5,Incon,0.484772920609,97.0,Det,Subj_1,m
1.0,0.0,Bin_1,Incon,0.349657058716,0.0,Det,Subj_1,k
1.0,80.0,Bin_4,Incon,0.44601583480800006,78.0,Det,Subj_1,k
1.0,100.0,Bin_5,Incon,0.45965600013700003,100.0,Det,Subj_1,k
0.0,20.0,Bin_2,Incon,0.349874019623,9.0,Det,Subj_1,k
1.0,0.0,Bin_1,Incon,0.470849990845,0.0,Det,Subj_1,m
1.0,80.0,Bin_4,Con,0.44681286811800003,79.0,Det,Subj_1,m
0.0,50.0,Bin_3,Incon,0.550100803375,47.0,Det,Subj_1,N
1.0,50.0,Bin_3,Incon,0.574432849884,53.0,Det,Subj_1,k
1.0,100.0,Bin_5,Con,0.469578027725,99.0,Det,Subj_1,k
1.0,0.0,Bin_1,Con,0.397255897522,0.0,Det,Subj_1,k
0.0,80.0,Bin_4,Incon,0.34975099563600004,73.0,Det,Subj_1,k
1.0,20.0,Bin_2,Incon,0.397518873215,18.0,Det,Subj_1,k
1.0,20.0,Bin_2,Con,0.38462185859700004,19.0,Det,Subj_1,k
0.0,0.0,Bin_1,Con,0.660144090652,0.0,Det,Subj_1,N
1.0,50.0,Bin_3,Con,0.475154161453,51.0,Det,Subj_1,m
1.0,80.0,Bin_4,Incon,0.510288953781,79.0,Det,Subj_1,k
1.0,100.0,Bin_5,Incon,0.532465934753,96.0,Det,Subj_1,m
1.0,20.0,Bin_2,Con,0.403867006302,17.0,Det,Subj_1,m
1.0,80.0,Bin_4,Con,0.451915979385,84.0,Det,Subj_1,k
1.0,100.0,Bin_5,Con,0.523999929428,100.0,Det,Subj_1,k
1.0,20.0,Bin_2,Con,0.388527154922,24.0,Det,Subj_1,k
0.0,0.0,Bin_1,Incon,0.381243944168,0.0,Det,Subj_1,m
1.0,0.0,Bin_1,Con,0.43799090385399997,0.0,Det,Subj_1,m
1.0,50.0,Bin_3,Incon,0.5173161029819999,54.0,Det,Subj_1,m
1.0,80.0,Bin_4,Con,0.43622803688,80.0,Det,Subj_1,m
1.0,100.0,Bin_5,Incon,0.516662836075,99.0,Det,Subj_1,k
1.0,0.0,Bin_1,Incon,0.493115901947,0.0,Det,Subj_1,m
1.0,20.0,Bin_2,Incon,0.5106132030489999,20.0,Det,Subj_1,m
1.0,50.0,Bin_3,Incon,0.44513893127400006,49.0,Det,Subj_1,k
1.0,50.0,Bin_3,Con,0.388527154922,53.0,Det,Subj_1,k
1.0,20.0,Bin_2,Incon,0.452827215195,16.0,Det,Subj_1,k
1.0,50.0,Bin_3,Con,0.388828039169,53.0,Det,Subj_1,m
1.0,0.0,Bin_1,Con,0.40693306922899997,0.0,Det,Subj_1,k
1.0,100.0,Bin_5,Con,0.434940814972,97.0,Det,Subj_1,m
1.0,80.0,Bin_4,Incon,0.516619205475,79.0,Det,Subj_1,m
1.0,50.0,Bin_3,Con,0.40514397621200005,50.0,Det,Subj_1,m
1.0,80.0,Bin_4,Incon,0.469888925552,78.0,Det,Subj_1,k
1.0,0.0,Bin_1,Con,0.420892953873,0.0,Det,Subj_1,m
1.0,50.0,Bin_3,Incon,0.429985046387,53.0,Det,Subj_1,k
1.0,20.0,Bin_2,Incon,0.421809911728,20.0,Det,Subj_1,k
0.0,100.0,Bin_5,Incon,0.570105791092,97.0,Det,Subj_1,N
1.0,80.0,Bin_4,Con,0.453283071518,78.0,Det,Subj_1,k
1.0,20.0,Bin_2,Con,0.380208969116,23.0,Det,Subj_1,k
1.0,20.0,Bin_2,Con,0.42154192924500006,22.0,Det,Subj_1,m
1.0,0.0,Bin_1,Incon,0.614358901978,0.0,Det,Subj_1,m
1.0,80.0,Bin_4,Incon,0.44532895088200003,73.0,Det,Subj_1,m
1.0,0.0,Bin_1,Con,0.44492197036700004,0.0,Det,Subj_1,k
1.0,100.0,Bin_5,Con,0.37369799614,93.0,Det,Subj_1,m
1.0,20.0,Bin_2,Incon,0.556079864502,20.0,Det,Subj_1,m
1.0,80.0,Bin_4,Con,0.469675064087,80.0,Det,Subj_1,m
1.0,50.0,Bin_3,Con,0.42723512649499995,40.0,Det,Subj_1,k
0.0,0.0,Bin_1,Incon,0.550146102905,0.0,Det,Subj_1,N
1.0,100.0,Bin_5,Incon,0.60009098053,96.0,Det,Subj_1,k
1.0,100.0,Bin_5,Con,0.449469089508,96.0,Det,Subj_1,k
1.0,50.0,Bin_3,Incon,0.460093975067,47.0,Det,Subj_1,m
1.0,100.0,Bin_5,Con,0.37277007103,96.0,Det,Subj_1,m
1.0,20.0,Bin_2,Incon,0.437487125397,22.0,Det,Subj_1,m
1.0,80.0,Bin_4,Con,0.388608932495,80.0,Det,Subj_1,m
1.0,20.0,Bin_2,Con,0.419533014297,10.0,Det,Subj_1,k
1.0,20.0,Bin_2,Con,0.500697135925,16.0,Det,Subj_1,m
1.0,0.0,Bin_1,Con,0.40511989593500003,0.0,Det,Subj_1,m
1.0,100.0,Bin_5,Incon,0.478446960449,98.0,Det,Subj_1,m
1.0,0.0,Bin_1,Con,0.397157907486,0.0,Det,Subj_1,k
1.0,0.0,Bin_1,Incon,0.45433497428900005,0.0,Det,Subj_1,m
1.0,20.0,Bin_2,Incon,0.44502806663500005,18.0,Det,Subj_1,k
1.0,50.0,Bin_3,Con,0.36470603942900004,50.0,Det,Subj_1,m
0.0,0.0,Bin_1,Incon,0.490155935287,0.0,Det,Subj_1,N
1.0,80.0,Bin_4,Incon,0.437046051025,80.0,Det,Subj_1,k
1.0,50.0,Bin_3,Incon,0.47491812706000003,52.0,Det,Subj_1,k
0.0,80.0,Bin_4,Incon,0.332939147949,75.0,Det,Subj_1,k
1.0,100.0,Bin_5,Con,0.358541965485,96.0,Det,Subj_1,k
1.0,100.0,Bin_5,Incon,0.42917490005500003,96.0,Det,Subj_1,k
1.0,80.0,Bin_4,Con,0.323430776596,81.0,Det,Subj_1,k
1.0,50.0,Bin_3,Con,0.36075901985200004,50.0,Det,Subj_1,k
1.0,50.0,Bin_3,Incon,0.461807966232,53.0,Det,Subj_1,m
0.0,20.0,Bin_2,Incon,0.356765031815,13.0,Det,Subj_1,k
1.0,20.0,Bin_2,Incon,0.461598873138,16.0,Det,Subj_1,k
1.0,80.0,Bin_4,Incon,0.435410022736,80.0,Det,Subj_1,m
1.0,50.0,Bin_3,Con,0.5000560283659999,44.0,Det,Subj_1,k
1.0,100.0,Bin_5,Con,0.373196125031,99.0,Det,Subj_1,m
1.0,20.0,Bin_2,Con,0.427848100662,20.0,Det,Subj_1,k
1.0,50.0,Bin_3,Con,0.358047008514,50.0,Det,Subj_1,m
1.0,50.0,Bin_3,Incon,0.46142911911000006,51.0,Det,Subj_1,m
1.0,80.0,Bin_4,Con,0.405922889709,74.0,Det,Subj_1,k
1.0,0.0,Bin_1,Incon,0.476396799088,0.0,Det,Subj_1,m
1.0,80.0,Bin_4,Incon,0.565310001373,83.0,Det,Subj_1,k
1.0,20.0,Bin_2,Con,0.37161803245499997,14.0,Det,Subj_1,m
1.0,100.0,Bin_5,Incon,0.388181209564,100.0,Det,Subj_1,k
1.0,0.0,Bin_1,Con,0.414120912552,0.0,Det,Subj_1,k
1.0,0.0,Bin_1,Con,0.36569786071800003,0.0,Det,Subj_1,m
1.0,100.0,Bin_5,Con,0.374175071716,97.0,Det,Subj_1,k
1.0,50.0,Bin_3,Incon,0.428828954697,52.0,Det,Subj_1,k
0.0,0.0,Bin_1,Incon,0.500119924545,0.0,Det,Subj_1,N
1.0,100.0,Bin_5,Incon,0.531367063522,99.0,Det,Subj_1,m
1.0,80.0,Bin_4,Con,0.352707862854,73.0,Det,Subj_1,m
1.0,20.0,Bin_2,Con,0.387739181519,21.0,Det,Subj_1,m
1.0,0.0,Bin_1,Con,0.494387865067,0.0,Det,Subj_1,k
1.0,100.0,Bin_5,Incon,0.47012090682999996,98.0,Det,Subj_1,m
0.0,50.0,Bin_3,Incon,0.363049983978,45.0,Det,Subj_1,m
1.0,100.0,Bin_5,Con,0.45358586311300003,100.0,Det,Subj_1,m
1.0,80.0,Bin_4,Con,0.356351852417,80.0,Det,Subj_1,k
1.0,20.0,Bin_2,Incon,0.443836212158,20.0,Det,Subj_1,m
1.0,0.0,Bin_1,Incon,0.533663988113,0.0,Det,Subj_1,k
1.0,100.0,Bin_5,Con,0.43746590614299996,100.0,Det,Subj_1,k
1.0,50.0,Bin_3,Incon,0.396243810654,43.0,Det,Subj_1,m
1.0,20.0,Bin_2,Incon,0.48452401161200004,13.0,Det,Subj_1,k
1.0,100.0,Bin_5,Incon,0.509755134583,99.0,Det,Subj_1,k
1.0,50.0,Bin_3,Con,0.48364210128799995,52.0,Det,Subj_1,m
1.0,0.0,Bin_1,Con,0.437642097473,0.0,Det,Subj_1,m
1.0,50.0,Bin_3,Con,0.494920015335,52.0,Det,Subj_1,k
1.0,80.0,Bin_4,Incon,0.41289305687,81.0,Det,Subj_1,k
1.0,20.0,Bin_2,Con,0.372752904892,23.0,Det,Subj_1,k
0.0,80.0,Bin_4,Incon,0.36478018760700004,83.0,Det,Subj_1,k
1.0,80.0,Bin_4,Con,0.41446185111999995,79.0,Det,Subj_1,m
0.0,0.0,Bin_1,Incon,0.41794991493199996,0.0,Det,Subj_1,k
0.0,20.0,Bin_2,Con,0.610121011734,24.0,Prob,Subj_1,N
1.0,80.0,Bin_4,Con,0.39413809776299996,76.0,Prob,Subj_1,m
1.0,100.0,Bin_5,Incon,0.562378883362,100.0,Prob,Subj_1,m
1.0,0.0,Bin_1,Con,0.379776000977,0.0,Prob,Subj_1,m
1.0,20.0,Bin_2,Con,0.434540987015,18.0,Prob,Subj_1,k
1.0,50.0,Bin_3,Con,0.379493951797,52.0,Prob,Subj_1,m
1.0,80.0,Bin_4,Incon,0.48190617561300003,79.0,Prob,Subj_1,k
1.0,80.0,Bin_4,Con,0.44210100173999994,80.0,Prob,Subj_1,k
1.0,0.0,Bin_1,Incon,0.484946966171,0.0,Prob,Subj_1,m
1.0,0.0,Bin_1,Incon,0.46772313118000003,0.0,Prob,Subj_1,k
1.0,80.0,Bin_4,Incon,0.46724104881300005,79.0,Prob,Subj_1,m
1.0,20.0,Bin_2,Incon,0.300191164017,21.0,Prob,Subj_1,k
1.0,50.0,Bin_3,Con,0.331606149673,53.0,Prob,Subj_1,k
1.0,100.0,Bin_5,Con,0.393910884857,96.0,Prob,Subj_1,k
1.0,100.0,Bin_5,Con,0.402481079102,92.0,Prob,Subj_1,m
0.0,50.0,Bin_3,Incon,0.380039930344,50.0,Prob,Subj_1,k
1.0,100.0,Bin_5,Incon,0.500118970871,97.0,Prob,Subj_1,k
1.0,0.0,Bin_1,Con,0.491677045822,0.0,Prob,Subj_1,k
1.0,50.0,Bin_3,Incon,0.375418186188,47.0,Prob,Subj_1,k
1.0,20.0,Bin_2,Incon,0.594290971756,19.0,Prob,Subj_1,m
1.0,20.0,Bin_2,Incon,0.467312097549,22.0,Prob,Subj_1,k
1.0,20.0,Bin_2,Con,0.41953420639,14.0,Prob,Subj_1,m
1.0,0.0,Bin_1,Incon,0.468387126923,0.0,Prob,Subj_1,k
1.0,100.0,Bin_5,Con,0.402512788773,97.0,Prob,Subj_1,m
1.0,100.0,Bin_5,Con,0.40380692482,99.0,Prob,Subj_1,k
1.0,0.0,Bin_1,Incon,0.46733379363999994,0.0,Prob,Subj_1,m
1.0,50.0,Bin_3,Incon,0.491084814072,54.0,Prob,Subj_1,m
1.0,100.0,Bin_5,Incon,0.514245033264,100.0,Prob,Subj_1,m
0.0,50.0,Bin_3,Incon,0.5101020336150001,49.0,Prob,Subj_1,N
1.0,50.0,Bin_3,Con,0.370048046112,52.0,Prob,Subj_1,m
1.0,0.0,Bin_1,Con,0.484617948532,0.0,Prob,Subj_1,m
1.0,80.0,Bin_4,Con,0.411641120911,80.0,Prob,Subj_1,k
1.0,20.0,Bin_2,Con,0.393602848053,19.0,Prob,Subj_1,k
1.0,80.0,Bin_4,Incon,0.47490286827100003,82.0,Prob,Subj_1,m
1.0,20.0,Bin_2,Incon,0.44227004051200003,24.0,Prob,Subj_1,m
0.0,100.0,Bin_5,Incon,0.37061405181900003,100.0,Prob,Subj_1,m
1.0,50.0,Bin_3,Con,0.43595409393299994,44.0,Prob,Subj_1,k
0.0,80.0,Bin_4,Incon,0.600129842758,80.0,Prob,Subj_1,N
1.0,0.0,Bin_1,Con,0.47866082191500003,0.0,Prob,Subj_1,k
1.0,80.0,Bin_4,Con,0.45150899887100004,78.0,Prob,Subj_1,m
1.0,80.0,Bin_4,Con,0.402501821518,78.0,Prob,Subj_1,m
1.0,0.0,Bin_1,Con,0.41139578819300004,0.0,Prob,Subj_1,k
1.0,80.0,Bin_4,Incon,0.45971012115500004,79.0,Prob,Subj_1,k
1.0,80.0,Bin_4,Con,0.37866282463100004,83.0,Prob,Subj_1,k
1.0,50.0,Bin_3,Con,0.411293983459,53.0,Prob,Subj_1,m
0.0,0.0,Bin_1,Incon,0.34819912910499995,0.0,Prob,Subj_1,k
1.0,50.0,Bin_3,Con,0.395596027374,49.0,Prob,Subj_1,k
1.0,100.0,Bin_5,Incon,0.514936923981,99.0,Prob,Subj_1,k
1.0,20.0,Bin_2,Con,0.34584903717,16.0,Prob,Subj_1,k
1.0,50.0,Bin_3,Incon,0.500006914139,48.0,Prob,Subj_1,m
1.0,100.0,Bin_5,Con,0.43546414375299997,96.0,Prob,Subj_1,m
0.0,100.0,Bin_5,Incon,0.41085100174,98.0,Prob,Subj_1,k
1.0,0.0,Bin_1,Incon,0.47717404365500005,0.0,Prob,Subj_1,k
1.0,100.0,Bin_5,Con,0.491827964783,100.0,Prob,Subj_1,k
1.0,20.0,Bin_2,Con,0.44352412223800003,20.0,Prob,Subj_1,m
1.0,50.0,Bin_3,Incon,0.428040027618,47.0,Prob,Subj_1,k
1.0,20.0,Bin_2,Incon,0.594177007675,17.0,Prob,Subj_1,k
1.0,0.0,Bin_1,Con,0.439226865768,0.0,Prob,Subj_1,m
1.0,20.0,Bin_2,Incon,0.492531061172,20.0,Prob,Subj_1,m
1.0,80.0,Bin_4,Incon,0.594285011292,75.0,Prob,Subj_1,m
1.0,100.0,Bin_5,Incon,0.554986953735,99.0,Prob,Subj_1,m
